tier,mode,examples_analyzed,included_leaf_count,skipped_empty_leaf_count,basic__AvgCorrectionAttemptsToSuccess,basic__AvgCorrectionLoops,basic__AvgModelCalls,basic__AvgReasoningTurns,basic__AvgReflectiveRefinementRounds,basic__AvgTotalTokens,basic__AvgWallTimeSeconds,basic__FinalPassRate,basic__Pass@1,basic__TotalCorrectionAttemptsToSuccess,basic__TotalEvaluatorAttempts,basic__TotalModelCalls,basic__TotalWallTimeSeconds
tier01,baseline_llm,116,20,0,1.0,1.0,15.732758620689655,1.0,0.0,10166.75,6.0996724137931055,0.9310344827586207,0.9310344827586207,108,116,1825,707.5620000000002
tier01,broadcast,116,20,0,1.008695652173913,1.0258620689655173,41.939655172413794,7.258620689655173,0.3448275862068966,39073.112068965514,13.873405172413788,0.9913793103448276,0.9827586206896551,116,119,4865,1609.3149999999994
tier01,per,116,20,0,1.0,1.0172413793103448,27.25862068965517,3.146551724137931,0.034482758620689655,38621.85344827586,68.31639655172414,0.9913793103448276,0.9913793103448276,115,121,3162,7924.702
tier01,single_agent,116,20,0,1.0434782608695652,1.0603448275862069,17.879310344827587,1.0603448275862069,0.0,12217.76724137931,6.667448275862072,0.9913793103448276,0.9482758620689655,120,123,2074,773.4240000000003
tier02,baseline_llm,517,60,0,1.0,1.0,12.147001934235977,1.0,0.0,11113.396518375243,11.534261121856874,0.8665377176015474,0.8665377176015474,448,517,6280,5963.213000000003
tier02,broadcast,517,60,0,1.0365853658536586,1.1315280464216635,66.13539651837525,11.005802707930368,1.1237911025145069,156346.4487427466,66.4344371373307,0.9516441005802708,0.9264990328820116,510,585,34192,34346.60399999998
tier02,per,517,60,0,1.044806517311609,1.1431334622823985,39.57640232108317,4.630560928433269,0.3597678916827853,121930.1411992263,107.12502901353973,0.9497098646034816,0.9148936170212766,513,708,20461,55383.64000000004
tier02,single_agent,517,60,0,1.0993788819875776,1.2243713733075434,15.967117988394584,1.2243713733075434,0.0,19198.027079303676,12.409607350096723,0.9342359767891683,0.8529980657640233,531,633,8255,6415.767000000005
tier03,baseline_llm,20,10,0,1.0,1.0,2.45,1.0,0.0,4512.5,26.429049999999997,0.6,0.6,12,20,49,528.5809999999999
tier03,broadcast,20,10,0,1.2352941176470589,1.5,46.6,26.3,5.05,203631.25,291.60884999999996,0.85,0.7,21,30,932,5832.177
tier03,per,20,10,0,1.0588235294117647,1.35,284.25,7.2,0.65,105536.25,295.86985,0.85,0.8,18,38,5685,5917.397
tier03,single_agent,20,10,0,1.3125,1.65,4.4,1.65,0.0,11628.8,43.02624999999999,0.8,0.6,21,33,88,860.5249999999999
tier04,baseline_llm,1106,116,4,1.0,1.0,10.33363471971067,1.0,0.0,17496.27034358047,69.21602712477393,0.6989150090415913,0.6989150090415913,773,1106,11429,76552.92599999996
tier04,broadcast,1106,116,0,1.0771484375,1.2197106690777577,105.6998191681736,17.321880650994576,2.4891500904159134,431527.5370705244,197.52183634719717,0.9258589511754068,0.8679927667269439,1103,1349,116904,218459.15100000007
tier04,per,1106,116,0,1.1212744090441933,1.3471971066907775,102.00271247739602,7.198915009041591,0.8779385171790235,318649.3119349005,173.79564647377939,0.879746835443038,0.7992766726943942,1091,2113,112815,192217.985
tier04,single_agent,1106,116,0,1.2373417721518987,1.4891500904159132,15.935804701627486,1.4891500904159132,0.0,38036.61211573237,30.520363471971038,0.8571428571428571,0.6943942133815552,1173,1647,17625,33755.52199999997
tier05,baseline_llm,1078,110,0,1.0,1.0,9.365491651205938,1.0,0.0,19742.64100185529,40.13451484230059,0.5640074211502782,0.5640074211502782,608,1078,10096,43265.007000000034
tier05,broadcast,1078,110,0,1.1279916753381893,1.3311688311688312,137.57513914656772,22.415584415584416,3.5269016697588125,676413.5890538034,270.7352124304267,0.891465677179963,0.8014842300556586,1084,1435,148306,291852.559
tier05,per,1078,110,0,1.1975308641975309,1.510204081632653,79.07513914656772,8.918367346938776,1.1799628942486085,464440.2133580705,235.22899814471288,0.826530612244898,0.699443413729128,1067,2492,85243,253576.86000000048
tier05,single_agent,1078,110,0,1.32541567695962,1.6920222634508348,17.554730983302413,1.6920222634508348,0.0,51672.82560296846,45.23142300556592,0.7810760667903525,0.5760667903525046,1116,1824,18924,48759.47400000007
tier06,baseline_llm,497,50,0,1.0,1.0,8.661971830985916,1.0,0.0,21927.386317907443,41.74972233400404,0.3782696177062374,0.3782696177062374,188,497,4305,20749.61200000001
tier06,broadcast,497,50,0,1.2475728155339805,1.5472837022132797,185.4426559356137,30.59758551307847,6.579476861167002,929829.0764587525,336.02904828973834,0.8289738430583501,0.6720321931589537,514,769,92165,167006.43699999995
tier06,per,497,50,0,1.2741116751269035,1.6317907444668007,158.5311871227364,10.507042253521126,1.6156941649899397,560605.8531187123,429.14006438631804,0.7927565392354124,0.6156941649899397,502,1322,78790,213282.61200000008
